airdropId,name,description,learnMore,twitter,chat,ledgerId,symbol,decimals,amount,fee,code
19,iDoge,A deflationary memecoin on the Internet Computer,https://idoge.org/,https://twitter.com/idoge_icp,https://t.me/icpdoge,eayyd-iiaaa-aaaah-adtea-cai,iDoge,18,1555,0,A8FI25
20,Vaultbet,The Decentralized Sports Betting Exchange,https://vault-bet.com/,https://twitter.com/VaultBet,https://discord.com/invite/NmV6uyYm29,vtkgs-raaaa-aaaak-afcua-cai,VBT,8,1000,0,IX9O1P
21,DragonEyes,A provably fair gaming platform on ICP,https://www.dragoneyes.xyz/,https://twitter.com/ICDragonEyes,https://discord.com/invite/ERsUvnZP8G,xa275-diaaa-aaaam-ab4pq-cai,EYES,8,2500000,0,S27E5K
22,Windoge98,The operating system that empowers users,https://windoge98.com/,https://twitter.com/windoge_98,https://oc.app/community/ow6el-gyaaa-aaaar-av5na-cai,rh2pm-ryaaa-aaaan-qeniq-cai,EXE,8,2250,100000,SCTXJN
23,OpenChat,Where web3 communicates,https://oc.app/,https://twitter.com/OpenChat,https://oc.app/community/dgegb-daaaa-aaaar-arlhq-cai/,2ouva-viaaa-aaaaq-aaamq-cai,CHAT,8,2000,100000,26AMVU
24,Querio,On-chain Web3 search engine,https://querio.io/,https://twitter.com/querio_io,https://oc.app/community/qbzct-jaaaa-aaaar-au2gq-cai/,vi5vh-wyaaa-aaaan-qizxa-cai,QRO,8,10000,10000,YQS3Y5
25,Clown,Boosting utility & sustainability in the $Clown circus community,https://twitter.com/ICPClownin,https://twitter.com/ICPClownin,https://t.me/+JH3f760QY25lZTAx,q6o4l-miaaa-aaaag-ak7ya-cai,CTX,8,7500000,25000000,6CM8KC
26,iDoge,A deflationary memecoin on the Internet Computer,https://idoge.org/,https://twitter.com/idoge_icp,https://t.me/icpdoge,eayyd-iiaaa-aaaah-adtea-cai,iDoge,18,1555,0,X7QLKL
27,Windoge98,The operating system that empowers users,https://windoge98.com/,https://twitter.com/windoge_98,https://oc.app/community/ow6el-gyaaa-aaaar-av5na-cai,rh2pm-ryaaa-aaaan-qeniq-cai,EXE,8,2250,100000,RMW3ZR
28,Ghost,The first memecoin on the Internet Computer,https://www.icghost.org/,https://twitter.com/ghost_icp,https://oc.app/community/46zba-laaaa-aaaar-ar2ha-cai,4c4fd-caaaa-aaaaq-aaa3a-cai,GHOST,8,1000000,100000000,219KIM
29,Alien,A community token by SNEED DAO for #ICPCC24,https://icsneed.com/,https://twitter.com/icsneed,https://oc.app/community/aury7-ryaaa-aaaar-auzia-cai,7tvr6-fqaaa-aaaan-qmira-cai,ALIEN,8,4725000000,420,CVC16R
30,Nuance,"Web3 blogging. Built on, and for, the new web",https://nuance.xyz/,https://twitter.com/nuancedapp,https://oc.app/community/3qzyb-ryaaa-aaaar-ateiq-cai/,rxdbk-dyaaa-aaaaq-aabtq-cai,NUA,8,12500,100000,U47YRD
31,OpenChat,Where web3 communicates,https://oc.app/,https://twitter.com/OpenChat,https://oc.app/community/dgegb-daaaa-aaaar-arlhq-cai/,2ouva-viaaa-aaaaq-aaamq-cai,CHAT,8,2000,100000,WCXW25
32,Ghost,The first memecoin on the Internet Computer,https://www.icghost.org/,https://twitter.com/ghost_icp,https://oc.app/community/46zba-laaaa-aaaar-ar2ha-cai,4c4fd-caaaa-aaaaq-aaa3a-cai,GHOST,8,1000000,100000000,Q3YSTL
33,ICLighthouse,Incubating true Web3 DeFi infrastructure,https://iclight.house/,https://twitter.com/ICLighthouse,https://discord.com/invite/FQZFGGq7zv,hhaaz-2aaaa-aaaaq-aacla-cai,ICL,8,10000,1000000,2PYQZE
34,DragonEyes,A provably fair gaming platform on ICP,https://www.dragoneyes.xyz/,https://twitter.com/ICDragonEyes,https://discord.com/invite/ERsUvnZP8G,xa275-diaaa-aaaam-ab4pq-cai,EYES,8,2500000,0,C8BPOK
35,ICPSwap,The Hub of Future Decentralized Finance,https://linktr.ee/ICPSwap,https://twitter.com/ICPSwap,https://t.me/ICPSwap_Offici,ca6gz-lqaaa-aaaaq-aacwa-cai,ICS,8,50000,1000000,RYWNZ3
36,Ghost,The first memecoin on the Internet Computer,https://www.icghost.org/,https://twitter.com/ghost_icp,https://oc.app/community/46zba-laaaa-aaaar-ar2ha-cai,4c4fd-caaaa-aaaaq-aaa3a-cai,GHOST,8,1000000,100000000,NZI6YT
37,iDoge,A deflationary memecoin on the Internet Computer,https://idoge.org/,https://twitter.com/idoge_icp,https://t.me/icpdoge,eayyd-iiaaa-aaaah-adtea-cai,iDoge,18,1555,0,38JGT4
38,Alien,A community token by SNEED DAO for #ICPCC24,https://icsneed.com/,https://twitter.com/icsneed,https://oc.app/community/aury7-ryaaa-aaaar-auzia-cai,7tvr6-fqaaa-aaaan-qmira-cai,ALIEN,8,4725000000,420,R2CZTA
39,Trax,A decentralised music platform governed by artists and fans,https://trax.so/,https://twitter.com/trax_so,https://oc.app/community/snsry-4qaaa-aaaar-a3vua-cai,emww2-4yaaa-aaaaq-aacbq-cai,TRAX,8,800,100000,4PAPW7
40,Clown,Boosting utility & sustainability in the $Clown circus community,https://twitter.com/ICPClownin,https://twitter.com/ICPClownin,https://t.me/+JH3f760QY25lZTAx,q6o4l-miaaa-aaaag-ak7ya-cai,CTX,8,7500000,25000000,5XP4KG
